,problem,language,branching_factor,max_programs,beam_width,debug_prompt_id,batch_size
0,basement,C++,1,1000,1,0,10
1,basement,C++,10,1000,10,0,10
2,basement,C++,100,1000,100,0,10
3,basement,C++,1000,1000,1000,0,10
4,basement,Python,1,1000,1,0,10
5,basement,Python,10,1000,10,0,10
6,basement,Python,100,1000,100,0,10
7,basement,Python,1000,1000,1000,0,10
8,bouncing-balls,C++,1,1000,1,0,10
9,bouncing-balls,C++,10,1000,10,0,10
10,bouncing-balls,C++,100,1000,100,0,10
11,bouncing-balls,C++,1000,1000,1000,0,10
12,bouncing-balls,Python,1,1000,1,0,10
13,bouncing-balls,Python,10,1000,10,0,10
14,bouncing-balls,Python,100,1000,100,0,10
15,bouncing-balls,Python,1000,1000,1000,0,10
16,bowling,C++,1,1000,1,0,10
17,bowling,C++,10,1000,10,0,10
18,bowling,C++,100,1000,100,0,10
19,bowling,C++,1000,1000,1000,0,10
20,bowling,Python,1,1000,1,0,10
21,bowling,Python,10,1000,10,0,10
22,bowling,Python,100,1000,100,0,10
23,bowling,Python,1000,1000,1000,0,10
24,camel-case,C++,1,1000,1,0,10
25,camel-case,C++,10,1000,10,0,10
26,camel-case,C++,100,1000,100,0,10
27,camel-case,C++,1000,1000,1000,0,10
28,camel-case,Python,1,1000,1,0,10
29,camel-case,Python,10,1000,10,0,10
30,camel-case,Python,100,1000,100,0,10
31,camel-case,Python,1000,1000,1000,0,10
32,coin-sums,C++,1,1000,1,0,10
33,coin-sums,C++,10,1000,10,0,10
34,coin-sums,C++,100,1000,100,0,10
35,coin-sums,C++,1000,1000,1000,0,10
36,coin-sums,Python,1,1000,1,0,10
37,coin-sums,Python,10,1000,10,0,10
38,coin-sums,Python,100,1000,100,0,10
39,coin-sums,Python,1000,1000,1000,0,10
40,cut-vector,C++,1,1000,1,0,10
41,cut-vector,C++,10,1000,10,0,10
42,cut-vector,C++,100,1000,100,0,10
43,cut-vector,C++,1000,1000,1000,0,10
44,cut-vector,Python,1,1000,1,0,10
45,cut-vector,Python,10,1000,10,0,10
46,cut-vector,Python,100,1000,100,0,10
47,cut-vector,Python,1000,1000,1000,0,10
48,dice-game,C++,1,1000,1,0,10
49,dice-game,C++,10,1000,10,0,10
50,dice-game,C++,100,1000,100,0,10
51,dice-game,C++,1000,1000,1000,0,10
52,dice-game,Python,1,1000,1,0,10
53,dice-game,Python,10,1000,10,0,10
54,dice-game,Python,100,1000,100,0,10
55,dice-game,Python,1000,1000,1000,0,10
56,find-pair,C++,1,1000,1,0,10
57,find-pair,C++,10,1000,10,0,10
58,find-pair,C++,100,1000,100,0,10
59,find-pair,C++,1000,1000,1000,0,10
60,find-pair,Python,1,1000,1,0,10
61,find-pair,Python,10,1000,10,0,10
62,find-pair,Python,100,1000,100,0,10
63,find-pair,Python,1000,1000,1000,0,10
64,fizz-buzz,C++,1,1000,1,0,10
65,fizz-buzz,C++,10,1000,10,0,10
66,fizz-buzz,C++,100,1000,100,0,10
67,fizz-buzz,C++,1000,1000,1000,0,10
68,fizz-buzz,Python,1,1000,1,0,10
69,fizz-buzz,Python,10,1000,10,0,10
70,fizz-buzz,Python,100,1000,100,0,10
71,fizz-buzz,Python,1000,1000,1000,0,10
72,fuel-cost,C++,1,1000,1,0,10
73,fuel-cost,C++,10,1000,10,0,10
74,fuel-cost,C++,100,1000,100,0,10
75,fuel-cost,C++,1000,1000,1000,0,10
76,fuel-cost,Python,1,1000,1,0,10
77,fuel-cost,Python,10,1000,10,0,10
78,fuel-cost,Python,100,1000,100,0,10
79,fuel-cost,Python,1000,1000,1000,0,10
80,gcd,C++,1,1000,1,0,10
81,gcd,C++,10,1000,10,0,10
82,gcd,C++,100,1000,100,0,10
83,gcd,C++,1000,1000,1000,0,10
84,gcd,Python,1,1000,1,0,10
85,gcd,Python,10,1000,10,0,10
86,gcd,Python,100,1000,100,0,10
87,gcd,Python,1000,1000,1000,0,10
88,indices-of-substring,C++,1,1000,1,0,10
89,indices-of-substring,C++,10,1000,10,0,10
90,indices-of-substring,C++,100,1000,100,0,10
91,indices-of-substring,C++,1000,1000,1000,0,10
92,indices-of-substring,Python,1,1000,1,0,10
93,indices-of-substring,Python,10,1000,10,0,10
94,indices-of-substring,Python,100,1000,100,0,10
95,indices-of-substring,Python,1000,1000,1000,0,10
96,leaders,C++,1,1000,1,0,10
97,leaders,C++,10,1000,10,0,10
98,leaders,C++,100,1000,100,0,10
99,leaders,C++,1000,1000,1000,0,10
100,leaders,Python,1,1000,1,0,10
101,leaders,Python,10,1000,10,0,10
102,leaders,Python,100,1000,100,0,10
103,leaders,Python,1000,1000,1000,0,10
104,luhn,C++,1,1000,1,0,10
105,luhn,C++,10,1000,10,0,10
106,luhn,C++,100,1000,100,0,10
107,luhn,C++,1000,1000,1000,0,10
108,luhn,Python,1,1000,1,0,10
109,luhn,Python,10,1000,10,0,10
110,luhn,Python,100,1000,100,0,10
111,luhn,Python,1000,1000,1000,0,10
112,mastermind,C++,1,1000,1,0,10
113,mastermind,C++,10,1000,10,0,10
114,mastermind,C++,100,1000,100,0,10
115,mastermind,C++,1000,1000,1000,0,10
116,mastermind,Python,1,1000,1,0,10
117,mastermind,Python,10,1000,10,0,10
118,mastermind,Python,100,1000,100,0,10
119,mastermind,Python,1000,1000,1000,0,10
120,middle-character,C++,1,1000,1,0,10
121,middle-character,C++,10,1000,10,0,10
122,middle-character,C++,100,1000,100,0,10
123,middle-character,C++,1000,1000,1000,0,10
124,middle-character,Python,1,1000,1,0,10
125,middle-character,Python,10,1000,10,0,10
126,middle-character,Python,100,1000,100,0,10
127,middle-character,Python,1000,1000,1000,0,10
128,paired-digits,C++,1,1000,1,0,10
129,paired-digits,C++,10,1000,10,0,10
130,paired-digits,C++,100,1000,100,0,10
131,paired-digits,C++,1000,1000,1000,0,10
132,paired-digits,Python,1,1000,1,0,10
133,paired-digits,Python,10,1000,10,0,10
134,paired-digits,Python,100,1000,100,0,10
135,paired-digits,Python,1000,1000,1000,0,10
136,shopping-list,C++,1,1000,1,0,10
