task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name
24001,CPP/0,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24002,CPP/1,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24003,CPP/2,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24004,CPP/3,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24005,CPP/4,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24006,CPP/5,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24007,CPP/6,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24008,CPP/7,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24009,CPP/8,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24010,CPP/9,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24011,CPP/10,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24012,CPP/11,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24013,CPP/12,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24014,CPP/13,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24015,CPP/14,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24016,CPP/15,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24017,CPP/16,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24018,CPP/17,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24019,CPP/18,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24020,CPP/19,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24021,CPP/20,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24022,CPP/21,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24023,CPP/22,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24024,CPP/23,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24025,CPP/24,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24026,CPP/25,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24027,CPP/26,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24028,CPP/27,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24029,CPP/28,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24030,CPP/29,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24031,CPP/30,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24032,CPP/31,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24033,CPP/32,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24034,CPP/33,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24035,CPP/34,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24036,CPP/35,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24037,CPP/36,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24038,CPP/37,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24039,CPP/38,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24040,CPP/39,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24041,CPP/40,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24042,CPP/41,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24043,CPP/42,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24044,CPP/43,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24045,CPP/44,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24046,CPP/45,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24047,CPP/46,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
24048,CPP/47,C++,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
