task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name
23001,Python/0,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23002,Python/1,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23003,Python/2,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23004,Python/3,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23005,Python/4,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23006,Python/5,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23007,Python/6,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23008,Python/7,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23009,Python/8,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23010,Python/9,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23011,Python/10,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23012,Python/11,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23013,Python/12,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23014,Python/13,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23015,Python/14,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23016,Python/15,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23017,Python/16,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23018,Python/17,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23019,Python/18,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23020,Python/19,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23021,Python/20,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23022,Python/21,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23023,Python/22,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23024,Python/23,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23025,Python/24,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23026,Python/25,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23027,Python/26,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23028,Python/27,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23029,Python/28,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23030,Python/29,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23031,Python/30,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23032,Python/31,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23033,Python/32,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23034,Python/33,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23035,Python/34,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23036,Python/35,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23037,Python/36,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23038,Python/37,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23039,Python/38,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23040,Python/39,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23041,Python/40,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23042,Python/41,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23043,Python/42,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23044,Python/43,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23045,Python/44,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23046,Python/45,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23047,Python/46,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23048,Python/47,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23049,Python/48,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23050,Python/49,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23051,Python/50,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23052,Python/51,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23053,Python/52,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23054,Python/53,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23055,Python/54,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23056,Python/55,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23057,Python/56,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23058,Python/57,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23059,Python/58,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23060,Python/59,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23061,Python/60,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23062,Python/61,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23063,Python/62,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23064,Python/63,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23065,Python/64,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23066,Python/65,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23067,Python/66,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23068,Python/67,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23069,Python/68,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23070,Python/69,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23071,Python/70,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23072,Python/71,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23073,Python/72,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23074,Python/73,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23075,Python/74,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23076,Python/75,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23077,Python/76,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23078,Python/77,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23079,Python/78,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23080,Python/79,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23081,Python/80,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23082,Python/81,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23083,Python/82,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23084,Python/83,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23085,Python/84,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23086,Python/85,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23087,Python/86,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23088,Python/87,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23089,Python/88,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23090,Python/89,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23091,Python/90,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23092,Python/91,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23093,Python/92,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23094,Python/93,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23095,Python/94,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23096,Python/95,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23097,Python/96,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23098,Python/97,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
23099,Python/98,Python,2,100,2,2,2,2,INFO,True,humaneval,codellama:34b-instruct
