task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name
22001,CPP/0,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22002,CPP/1,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22003,CPP/2,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22004,CPP/3,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22005,CPP/4,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22006,CPP/5,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22007,CPP/6,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22008,CPP/7,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22009,CPP/8,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22010,CPP/9,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22011,CPP/10,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22012,CPP/11,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22013,CPP/12,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22014,CPP/13,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22015,CPP/14,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22016,CPP/15,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22017,CPP/16,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22018,CPP/17,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22019,CPP/18,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22020,CPP/19,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22021,CPP/20,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22022,CPP/21,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22023,CPP/22,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22024,CPP/23,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22025,CPP/24,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22026,CPP/25,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22027,CPP/26,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22028,CPP/27,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22029,CPP/28,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22030,CPP/29,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22031,CPP/30,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22032,CPP/31,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22033,CPP/32,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22034,CPP/33,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22035,CPP/34,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22036,CPP/35,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22037,CPP/36,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22038,CPP/37,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22039,CPP/38,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22040,CPP/39,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22041,CPP/40,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22042,CPP/41,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22043,CPP/42,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22044,CPP/43,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22045,CPP/44,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22046,CPP/45,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22047,CPP/46,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22048,CPP/47,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22049,CPP/48,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22050,CPP/49,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22051,CPP/50,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22052,CPP/51,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22053,CPP/52,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22054,CPP/53,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22055,CPP/54,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22056,CPP/55,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22057,CPP/56,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22058,CPP/57,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22059,CPP/58,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22060,CPP/59,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22061,CPP/60,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22062,CPP/61,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22063,CPP/62,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22064,CPP/63,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22065,CPP/64,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22066,CPP/65,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22067,CPP/66,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22068,CPP/67,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22069,CPP/68,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22070,CPP/69,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22071,CPP/70,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22072,CPP/71,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22073,CPP/72,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22074,CPP/73,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22075,CPP/74,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22076,CPP/75,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22077,CPP/76,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22078,CPP/77,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22079,CPP/78,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22080,CPP/79,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22081,CPP/80,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22082,CPP/81,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
22083,CPP/82,C++,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
