task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name
21001,Python/0,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21002,Python/1,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21003,Python/2,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21004,Python/3,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21005,Python/4,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21006,Python/5,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21007,Python/6,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21008,Python/7,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21009,Python/8,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21010,Python/9,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21011,Python/10,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21012,Python/11,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21013,Python/12,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21014,Python/13,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21015,Python/14,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21016,Python/15,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21017,Python/16,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21018,Python/17,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21019,Python/18,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21020,Python/19,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21021,Python/20,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21022,Python/21,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21023,Python/22,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21024,Python/23,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21025,Python/24,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21026,Python/25,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21027,Python/26,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21028,Python/27,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21029,Python/28,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21030,Python/29,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21031,Python/30,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21032,Python/31,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21033,Python/32,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21034,Python/33,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21035,Python/34,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21036,Python/35,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21037,Python/36,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21038,Python/37,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
21039,Python/38,Python,2,100,2,2,2,2,INFO,False,humaneval,codellama:34b-instruct
