task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name
19001,CPP/0,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19002,CPP/1,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19003,CPP/2,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19004,CPP/3,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19005,CPP/4,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19006,CPP/5,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19007,CPP/6,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19008,CPP/7,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19009,CPP/8,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19010,CPP/9,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19011,CPP/10,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19012,CPP/11,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19013,CPP/12,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19014,CPP/13,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19015,CPP/14,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19016,CPP/15,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19017,CPP/16,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19018,CPP/17,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19019,CPP/18,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19020,CPP/19,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19021,CPP/20,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19022,CPP/21,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19023,CPP/22,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19024,CPP/23,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19025,CPP/24,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19026,CPP/25,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19027,CPP/26,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19028,CPP/27,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19029,CPP/28,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19030,CPP/29,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19031,CPP/30,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19032,CPP/31,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19033,CPP/32,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19034,CPP/33,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19035,CPP/34,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19036,CPP/35,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19037,CPP/36,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19038,CPP/37,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19039,CPP/38,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19040,CPP/39,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19041,CPP/40,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19042,CPP/41,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19043,CPP/42,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19044,CPP/43,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19045,CPP/44,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19046,CPP/45,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19047,CPP/46,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19048,CPP/47,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19049,CPP/48,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19050,CPP/49,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19051,CPP/50,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19052,CPP/51,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19053,CPP/52,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19054,CPP/53,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19055,CPP/54,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19056,CPP/55,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19057,CPP/56,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19058,CPP/57,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19059,CPP/58,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19060,CPP/59,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19061,CPP/60,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19062,CPP/61,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19063,CPP/62,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19064,CPP/63,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19065,CPP/64,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19066,CPP/65,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19067,CPP/66,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19068,CPP/67,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19069,CPP/68,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19070,CPP/69,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19071,CPP/70,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19072,CPP/71,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19073,CPP/72,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19074,CPP/73,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19075,CPP/74,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19076,CPP/75,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19077,CPP/76,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19078,CPP/77,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19079,CPP/78,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19080,CPP/79,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19081,CPP/80,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19082,CPP/81,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19083,CPP/82,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19084,CPP/83,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19085,CPP/84,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19086,CPP/85,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19087,CPP/86,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19088,CPP/87,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19089,CPP/88,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19090,CPP/89,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19091,CPP/90,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19092,CPP/91,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19093,CPP/92,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19094,CPP/93,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19095,CPP/94,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19096,CPP/95,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19097,CPP/96,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19098,CPP/97,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19099,CPP/98,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19100,CPP/99,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19101,CPP/100,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19102,CPP/101,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19103,CPP/102,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19104,CPP/103,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19105,CPP/104,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19106,CPP/105,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19107,CPP/106,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19108,CPP/107,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19109,CPP/108,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19110,CPP/109,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19111,CPP/110,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19112,CPP/111,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19113,CPP/112,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19114,CPP/113,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19115,CPP/114,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19116,CPP/115,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19117,CPP/116,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19118,CPP/117,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19119,CPP/118,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19120,CPP/119,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19121,CPP/120,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19122,CPP/121,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19123,CPP/122,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19124,CPP/123,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19125,CPP/124,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19126,CPP/125,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19127,CPP/126,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19128,CPP/127,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19129,CPP/128,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19130,CPP/129,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19131,CPP/130,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19132,CPP/131,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19133,CPP/132,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19134,CPP/133,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19135,CPP/134,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19136,CPP/135,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19137,CPP/136,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19138,CPP/137,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19139,CPP/138,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19140,CPP/139,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19141,CPP/140,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19142,CPP/141,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19143,CPP/142,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19144,CPP/143,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19145,CPP/144,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19146,CPP/145,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19147,CPP/146,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19148,CPP/147,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19149,CPP/148,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19150,CPP/149,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19151,CPP/150,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19152,CPP/151,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19153,CPP/152,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19154,CPP/153,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19155,CPP/154,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19156,CPP/155,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19157,CPP/156,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19158,CPP/157,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19159,CPP/158,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19160,CPP/159,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19161,CPP/160,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19162,CPP/161,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19163,CPP/162,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19164,CPP/163,C++,2,100,2,2,2,2,INFO,True,humaneval,gpt-3.5-turbo
19165,CPP/0,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19166,CPP/1,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19167,CPP/2,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19168,CPP/3,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19169,CPP/4,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19170,CPP/5,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19171,CPP/6,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19172,CPP/7,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19173,CPP/8,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
19174,CPP/9,C++,4,100,4,2,4,4,INFO,True,humaneval,gpt-3.5-turbo
