task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name
17001,CPP/0,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17002,CPP/1,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17003,CPP/2,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17004,CPP/3,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17005,CPP/4,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17006,CPP/5,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17007,CPP/6,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17008,CPP/7,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17009,CPP/8,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17010,CPP/9,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17011,CPP/10,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17012,CPP/11,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17013,CPP/12,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17014,CPP/13,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17015,CPP/14,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17016,CPP/15,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17017,CPP/16,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17018,CPP/17,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17019,CPP/18,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17020,CPP/19,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17021,CPP/20,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17022,CPP/21,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17023,CPP/22,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17024,CPP/23,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17025,CPP/24,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17026,CPP/25,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17027,CPP/26,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17028,CPP/27,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17029,CPP/28,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17030,CPP/29,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17031,CPP/30,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17032,CPP/31,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17033,CPP/32,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17034,CPP/33,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17035,CPP/34,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17036,CPP/35,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17037,CPP/36,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17038,CPP/37,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
17039,CPP/38,C++,2,100,2,2,2,2,INFO,False,humaneval,gpt-3.5-turbo
