task_id,problem,language,branching_factor,max_programs,beam_width,debug_prompt_id,log
1,basement,C++,2,100,2,0,INFO
2,basement,Python,2,100,2,0,INFO
3,bouncing-balls,C++,2,100,2,0,INFO
4,bouncing-balls,Python,2,100,2,0,INFO
5,bowling,C++,2,100,2,0,INFO
6,bowling,Python,2,100,2,0,INFO
7,camel-case,C++,2,100,2,0,INFO
8,camel-case,Python,2,100,2,0,INFO
9,coin-sums,C++,2,100,2,0,INFO
10,coin-sums,Python,2,100,2,0,INFO
11,cut-vector,C++,2,100,2,0,INFO
12,cut-vector,Python,2,100,2,0,INFO
13,dice-game,C++,2,100,2,0,INFO
14,dice-game,Python,2,100,2,0,INFO
15,find-pair,C++,2,100,2,0,INFO
16,find-pair,Python,2,100,2,0,INFO
17,fizz-buzz,C++,2,100,2,0,INFO
18,fizz-buzz,Python,2,100,2,0,INFO
19,fuel-cost,C++,2,100,2,0,INFO
20,fuel-cost,Python,2,100,2,0,INFO
21,gcd,C++,2,100,2,0,INFO
22,gcd,Python,2,100,2,0,INFO
23,indices-of-substring,C++,2,100,2,0,INFO
24,indices-of-substring,Python,2,100,2,0,INFO
25,leaders,C++,2,100,2,0,INFO
26,leaders,Python,2,100,2,0,INFO
27,luhn,C++,2,100,2,0,INFO
28,luhn,Python,2,100,2,0,INFO
29,mastermind,C++,2,100,2,0,INFO
30,mastermind,Python,2,100,2,0,INFO
31,middle-character,C++,2,100,2,0,INFO
32,middle-character,Python,2,100,2,0,INFO
33,paired-digits,C++,2,100,2,0,INFO
34,paired-digits,Python,2,100,2,0,INFO
35,shopping-list,C++,2,100,2,0,INFO
36,shopping-list,Python,2,100,2,0,INFO
37,snow-day,C++,2,100,2,0,INFO
38,snow-day,Python,2,100,2,0,INFO
39,solve-boolean,C++,2,100,2,0,INFO
40,solve-boolean,Python,2,100,2,0,INFO
41,spin-words,C++,2,100,2,0,INFO
42,spin-words,Python,2,100,2,0,INFO
43,square-digits,C++,2,100,2,0,INFO
44,square-digits,Python,2,100,2,0,INFO
45,substitution-cipher,C++,2,100,2,0,INFO
46,substitution-cipher,Python,2,100,2,0,INFO
47,twitter,C++,2,100,2,0,INFO
48,twitter,Python,2,100,2,0,INFO
49,vector-distance,C++,2,100,2,0,INFO
50,vector-distance,Python,2,100,2,0,INFO
51,basement,C++,4,100,4,0,INFO
52,basement,Python,4,100,4,0,INFO
53,bouncing-balls,C++,4,100,4,0,INFO
54,bouncing-balls,Python,4,100,4,0,INFO
55,bowling,C++,4,100,4,0,INFO
56,bowling,Python,4,100,4,0,INFO
57,camel-case,C++,4,100,4,0,INFO
58,camel-case,Python,4,100,4,0,INFO
