task_id,problem,language,branching_factor,max_programs,beam_width,debug_prompt_id,log
1,basement,C++,2,100,2,0,INFO
2,basement,C++,4,100,4,0,INFO
3,basement,C++,16,100,16,0,INFO
4,basement,Python,2,100,2,0,INFO
5,basement,Python,4,100,4,0,INFO
6,basement,Python,16,100,16,0,INFO
7,bouncing-balls,C++,2,100,2,0,INFO
8,bouncing-balls,C++,4,100,4,0,INFO
9,bouncing-balls,C++,16,100,16,0,INFO
10,bouncing-balls,Python,2,100,2,0,INFO
11,bouncing-balls,Python,4,100,4,0,INFO
12,bouncing-balls,Python,16,100,16,0,INFO
13,bowling,C++,2,100,2,0,INFO
14,bowling,C++,4,100,4,0,INFO
15,bowling,C++,16,100,16,0,INFO
16,bowling,Python,2,100,2,0,INFO
17,bowling,Python,4,100,4,0,INFO
18,bowling,Python,16,100,16,0,INFO
19,camel-case,C++,2,100,2,0,INFO
20,camel-case,C++,4,100,4,0,INFO
21,camel-case,C++,16,100,16,0,INFO
22,camel-case,Python,2,100,2,0,INFO
23,camel-case,Python,4,100,4,0,INFO
24,camel-case,Python,16,100,16,0,INFO
25,coin-sums,C++,2,100,2,0,INFO
26,coin-sums,C++,4,100,4,0,INFO
27,coin-sums,C++,16,100,16,0,INFO
28,coin-sums,Python,2,100,2,0,INFO
29,coin-sums,Python,4,100,4,0,INFO
30,coin-sums,Python,16,100,16,0,INFO
31,cut-vector,C++,2,100,2,0,INFO
32,cut-vector,C++,4,100,4,0,INFO
33,cut-vector,C++,16,100,16,0,INFO
34,cut-vector,Python,2,100,2,0,INFO
35,cut-vector,Python,4,100,4,0,INFO
36,cut-vector,Python,16,100,16,0,INFO
37,dice-game,C++,2,100,2,0,INFO
38,dice-game,C++,4,100,4,0,INFO
39,dice-game,C++,16,100,16,0,INFO
40,dice-game,Python,2,100,2,0,INFO
41,dice-game,Python,4,100,4,0,INFO
42,dice-game,Python,16,100,16,0,INFO
43,find-pair,C++,2,100,2,0,INFO
44,find-pair,C++,4,100,4,0,INFO
45,find-pair,C++,16,100,16,0,INFO
46,find-pair,Python,2,100,2,0,INFO
47,find-pair,Python,4,100,4,0,INFO
48,find-pair,Python,16,100,16,0,INFO
49,fizz-buzz,C++,2,100,2,0,INFO
50,fizz-buzz,C++,4,100,4,0,INFO
51,fizz-buzz,C++,16,100,16,0,INFO
52,fizz-buzz,Python,2,100,2,0,INFO
53,fizz-buzz,Python,4,100,4,0,INFO
54,fizz-buzz,Python,16,100,16,0,INFO
55,fuel-cost,C++,2,100,2,0,INFO
56,fuel-cost,C++,4,100,4,0,INFO
57,fuel-cost,C++,16,100,16,0,INFO
58,fuel-cost,Python,2,100,2,0,INFO
59,fuel-cost,Python,4,100,4,0,INFO
60,fuel-cost,Python,16,100,16,0,INFO
61,gcd,C++,2,100,2,0,INFO
62,gcd,C++,4,100,4,0,INFO
63,gcd,C++,16,100,16,0,INFO
64,gcd,Python,2,100,2,0,INFO
65,gcd,Python,4,100,4,0,INFO
66,gcd,Python,16,100,16,0,INFO
67,indices-of-substring,C++,2,100,2,0,INFO
68,indices-of-substring,C++,4,100,4,0,INFO
69,indices-of-substring,C++,16,100,16,0,INFO
70,indices-of-substring,Python,2,100,2,0,INFO
71,indices-of-substring,Python,4,100,4,0,INFO
