task_id,problem,language,branching_factor,max_programs,beam_width,debug_prompt_id,log,dataset
1,CPP/0,C++,2,100,2,0,INFO,humaneval
2,CPP/1,C++,2,100,2,0,INFO,humaneval
3,CPP/2,C++,2,100,2,0,INFO,humaneval
4,CPP/3,C++,2,100,2,0,INFO,humaneval
5,CPP/4,C++,2,100,2,0,INFO,humaneval
6,CPP/5,C++,2,100,2,0,INFO,humaneval
7,CPP/6,C++,2,100,2,0,INFO,humaneval
8,CPP/7,C++,2,100,2,0,INFO,humaneval
9,CPP/8,C++,2,100,2,0,INFO,humaneval
10,CPP/9,C++,2,100,2,0,INFO,humaneval
11,CPP/10,C++,2,100,2,0,INFO,humaneval
12,CPP/11,C++,2,100,2,0,INFO,humaneval
13,CPP/12,C++,2,100,2,0,INFO,humaneval
14,CPP/13,C++,2,100,2,0,INFO,humaneval
15,CPP/14,C++,2,100,2,0,INFO,humaneval
16,CPP/15,C++,2,100,2,0,INFO,humaneval
17,CPP/16,C++,2,100,2,0,INFO,humaneval
18,CPP/17,C++,2,100,2,0,INFO,humaneval
19,CPP/18,C++,2,100,2,0,INFO,humaneval
20,CPP/19,C++,2,100,2,0,INFO,humaneval
21,CPP/20,C++,2,100,2,0,INFO,humaneval
22,CPP/21,C++,2,100,2,0,INFO,humaneval
23,CPP/22,C++,2,100,2,0,INFO,humaneval
24,CPP/23,C++,2,100,2,0,INFO,humaneval
25,CPP/24,C++,2,100,2,0,INFO,humaneval
26,CPP/25,C++,2,100,2,0,INFO,humaneval
27,CPP/26,C++,2,100,2,0,INFO,humaneval
28,CPP/27,C++,2,100,2,0,INFO,humaneval
29,CPP/28,C++,2,100,2,0,INFO,humaneval
30,CPP/29,C++,2,100,2,0,INFO,humaneval
31,CPP/30,C++,2,100,2,0,INFO,humaneval
32,CPP/31,C++,2,100,2,0,INFO,humaneval
33,CPP/32,C++,2,100,2,0,INFO,humaneval
34,CPP/33,C++,2,100,2,0,INFO,humaneval
35,CPP/34,C++,2,100,2,0,INFO,humaneval
36,CPP/35,C++,2,100,2,0,INFO,humaneval
37,CPP/36,C++,2,100,2,0,INFO,humaneval
38,CPP/37,C++,2,100,2,0,INFO,humaneval
39,CPP/38,C++,2,100,2,0,INFO,humaneval
40,CPP/39,C++,2,100,2,0,INFO,humaneval
41,CPP/40,C++,2,100,2,0,INFO,humaneval
42,CPP/41,C++,2,100,2,0,INFO,humaneval
43,CPP/42,C++,2,100,2,0,INFO,humaneval
44,CPP/43,C++,2,100,2,0,INFO,humaneval
45,CPP/44,C++,2,100,2,0,INFO,humaneval
46,CPP/45,C++,2,100,2,0,INFO,humaneval
47,CPP/46,C++,2,100,2,0,INFO,humaneval
48,CPP/47,C++,2,100,2,0,INFO,humaneval
49,CPP/48,C++,2,100,2,0,INFO,humaneval
50,CPP/49,C++,2,100,2,0,INFO,humaneval
51,CPP/50,C++,2,100,2,0,INFO,humaneval
52,CPP/51,C++,2,100,2,0,INFO,humaneval
53,CPP/52,C++,2,100,2,0,INFO,humaneval
54,CPP/53,C++,2,100,2,0,INFO,humaneval
55,CPP/54,C++,2,100,2,0,INFO,humaneval
56,CPP/55,C++,2,100,2,0,INFO,humaneval
57,CPP/56,C++,2,100,2,0,INFO,humaneval
58,CPP/57,C++,2,100,2,0,INFO,humaneval
59,CPP/58,C++,2,100,2,0,INFO,humaneval
60,CPP/59,C++,2,100,2,0,INFO,humaneval
61,CPP/60,C++,2,100,2,0,INFO,humaneval
62,CPP/61,C++,2,100,2,0,INFO,humaneval
63,CPP/62,C++,2,100,2,0,INFO,humaneval
64,CPP/63,C++,2,100,2,0,INFO,humaneval
65,CPP/64,C++,2,100,2,0,INFO,humaneval
66,CPP/65,C++,2,100,2,0,INFO,humaneval
67,CPP/66,C++,2,100,2,0,INFO,humaneval
68,CPP/67,C++,2,100,2,0,INFO,humaneval
69,CPP/68,C++,2,100,2,0,INFO,humaneval
70,CPP/69,C++,2,100,2,0,INFO,humaneval
71,CPP/70,C++,2,100,2,0,INFO,humaneval
72,CPP/71,C++,2,100,2,0,INFO,humaneval
73,CPP/72,C++,2,100,2,0,INFO,humaneval
74,CPP/73,C++,2,100,2,0,INFO,humaneval
75,CPP/74,C++,2,100,2,0,INFO,humaneval
76,CPP/75,C++,2,100,2,0,INFO,humaneval
77,CPP/76,C++,2,100,2,0,INFO,humaneval
78,CPP/77,C++,2,100,2,0,INFO,humaneval
79,CPP/78,C++,2,100,2,0,INFO,humaneval
80,CPP/79,C++,2,100,2,0,INFO,humaneval
81,CPP/80,C++,2,100,2,0,INFO,humaneval
82,CPP/81,C++,2,100,2,0,INFO,humaneval
83,CPP/82,C++,2,100,2,0,INFO,humaneval
84,CPP/83,C++,2,100,2,0,INFO,humaneval
85,CPP/84,C++,2,100,2,0,INFO,humaneval
86,CPP/85,C++,2,100,2,0,INFO,humaneval
87,CPP/86,C++,2,100,2,0,INFO,humaneval
88,CPP/87,C++,2,100,2,0,INFO,humaneval
89,CPP/88,C++,2,100,2,0,INFO,humaneval
90,CPP/89,C++,2,100,2,0,INFO,humaneval
91,CPP/90,C++,2,100,2,0,INFO,humaneval
92,CPP/91,C++,2,100,2,0,INFO,humaneval
93,CPP/92,C++,2,100,2,0,INFO,humaneval
94,CPP/93,C++,2,100,2,0,INFO,humaneval
95,CPP/94,C++,2,100,2,0,INFO,humaneval
96,CPP/95,C++,2,100,2,0,INFO,humaneval
97,CPP/96,C++,2,100,2,0,INFO,humaneval
98,CPP/97,C++,2,100,2,0,INFO,humaneval
99,CPP/98,C++,2,100,2,0,INFO,humaneval
100,CPP/99,C++,2,100,2,0,INFO,humaneval
101,CPP/100,C++,2,100,2,0,INFO,humaneval
102,CPP/101,C++,2,100,2,0,INFO,humaneval
