task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name
20001,basement,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20002,basement,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20003,bouncing-balls,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20004,bouncing-balls,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20005,bowling,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20006,bowling,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20007,camel-case,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20008,camel-case,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20009,coin-sums,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20010,coin-sums,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20011,cut-vector,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20012,cut-vector,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20013,dice-game,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20014,dice-game,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20015,find-pair,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20016,find-pair,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20017,fizz-buzz,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20018,fizz-buzz,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20019,fuel-cost,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20020,fuel-cost,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20021,gcd,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20022,gcd,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20023,indices-of-substring,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20024,indices-of-substring,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20025,leaders,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20026,leaders,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20027,luhn,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20028,luhn,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20029,mastermind,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20030,mastermind,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20031,middle-character,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20032,middle-character,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20033,paired-digits,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20034,paired-digits,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20035,shopping-list,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20036,shopping-list,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20037,snow-day,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20038,snow-day,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20039,solve-boolean,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20040,solve-boolean,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20041,spin-words,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20042,spin-words,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20043,square-digits,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20044,square-digits,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20045,substitution-cipher,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20046,substitution-cipher,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20047,twitter,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20048,twitter,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20049,vector-distance,C++,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20050,vector-distance,Python,2,100,2,2,2,2,INFO,False,psb2,codellama:34b-instruct
20051,basement,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20052,basement,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20053,bouncing-balls,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20054,bouncing-balls,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20055,bowling,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20056,bowling,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20057,camel-case,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20058,camel-case,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20059,coin-sums,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20060,coin-sums,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20061,cut-vector,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20062,cut-vector,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20063,dice-game,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20064,dice-game,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20065,find-pair,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20066,find-pair,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20067,fizz-buzz,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20068,fizz-buzz,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20069,fuel-cost,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20070,fuel-cost,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20071,gcd,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20072,gcd,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20073,indices-of-substring,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20074,indices-of-substring,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20075,leaders,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20076,leaders,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20077,luhn,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20078,luhn,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20079,mastermind,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20080,mastermind,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20081,middle-character,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20082,middle-character,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20083,paired-digits,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20084,paired-digits,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20085,shopping-list,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20086,shopping-list,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20087,snow-day,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20088,snow-day,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20089,solve-boolean,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20090,solve-boolean,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20091,spin-words,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20092,spin-words,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20093,square-digits,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20094,square-digits,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20095,substitution-cipher,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20096,substitution-cipher,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20097,twitter,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20098,twitter,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20099,vector-distance,C++,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20100,vector-distance,Python,4,100,4,2,4,4,INFO,False,psb2,codellama:34b-instruct
20101,basement,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20102,basement,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20103,bouncing-balls,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20104,bouncing-balls,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20105,bowling,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20106,bowling,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20107,camel-case,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20108,camel-case,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20109,coin-sums,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20110,coin-sums,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20111,cut-vector,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20112,cut-vector,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20113,dice-game,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20114,dice-game,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20115,find-pair,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20116,find-pair,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20117,fizz-buzz,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20118,fizz-buzz,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20119,fuel-cost,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20120,fuel-cost,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20121,gcd,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20122,gcd,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20123,indices-of-substring,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20124,indices-of-substring,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20125,leaders,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20126,leaders,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20127,luhn,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20128,luhn,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20129,mastermind,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20130,mastermind,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20131,middle-character,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20132,middle-character,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20133,paired-digits,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20134,paired-digits,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20135,shopping-list,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20136,shopping-list,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20137,snow-day,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20138,snow-day,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20139,solve-boolean,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20140,solve-boolean,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20141,spin-words,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20142,spin-words,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20143,square-digits,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20144,square-digits,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20145,substitution-cipher,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20146,substitution-cipher,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20147,twitter,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20148,twitter,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20149,vector-distance,C++,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20150,vector-distance,Python,16,100,16,2,16,16,INFO,False,psb2,codellama:34b-instruct
20151,basement,C++,1,100,1,2,1,1,INFO,False,psb2,codellama:34b-instruct
20152,basement,Python,1,100,1,2,1,1,INFO,False,psb2,codellama:34b-instruct
20153,bouncing-balls,C++,1,100,1,2,1,1,INFO,False,psb2,codellama:34b-instruct
20154,bouncing-balls,Python,1,100,1,2,1,1,INFO,False,psb2,codellama:34b-instruct
